QuestionID,CorrectRate,QuizID,CorrectAnswer
T001,0,Q001,See You Again
T002,0,Q001,Let Her Go
T003,0,Q001,Blank Space
T004,0,Q001,All Of Me
T005,0,Q001,I'm Yours
T006,0,Q002,Payphone
T007,0,Q002,Counting Stars
T008,0,Q002,Bad Romance
T009,0,Q002,We Don't Talk Anymore
T010,0,Q002,Treat You Better
T011,0,Q003,Viva La Vida
T012,0,Q003,Calling
T013,0,Q003,Rewrite The Stars
T014,0,Q003,Doja
T015,0,Q003,Humble.
T016,0,Q004,Mixed Nuts
T017,0,Q004,Lemon
T018,0,Q004,Gurenge
T019,0,Q004,Koi
T020,0,Q004,Pretender
T021,0,Q005,CRY FOR ME
T022,0,Q005,Shinunoga E-Wa
T023,0,Q005,BLUE BIRD
T024,0,Q005,Unravel
T025,0,Q005,Zenzenzense
T026,0,Q006,Silhouette
T027,0,Q006,Flamingo
T028,0,Q006,Homura
T029,0,Q006,Kaikaikitan
T030,0,Q006,Gunjo
T031,0,Q007,Tomboy
T032,0,Q007,Supernova
T033,0,Q007,FOREVER
T034,0,Q007,I GOT YOU
T035,0,Q007,SHEESH
T036,0,Q008,Trouber Maker
T037,0,Q008,Super Shy
T038,0,Q008,Loser
T039,0,Q008,APT
T040,0,Q008,How You Like That
T041,0,Q009,Armaggeddon
T042,0,Q009,DASH
T043,0,Q009,Magnetic
T044,0,Q009,Ditto
T045,0,Q009,Hype Boy
